"No.","Time","Source","Destination","Protocol","Length","Info"
"37","15.361400","10.0.2.15","23.11.38.161","TCP","54","[TCP Dup ACK 15#1] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0"
"38","15.363414","23.11.38.161","10.0.2.15","TCP","60","[TCP Dup ACK 16#1] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"39","15.377498","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","179","Application Data"
"40","15.377679","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=70 Ack=177 Win=65535 Len=0"
"41","15.500076","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","162","Application Data"
"42","15.500870","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=158 Win=65535 Len=0"
"43","17.152585","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","104","Application Data"
"44","17.152842","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=188 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"45","17.152866","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=1628 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"46","17.152879","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=3068 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"47","17.152892","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=4508 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"48","17.152905","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [PSH, ACK] Seq=5948 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"49","17.153030","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=7388 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
